Transaction Date,Predicted_Overall_Revenue,Year,Month
2024-03-21,314.15735,2024,3
2024-03-22,305.01245,2024,3
2024-03-23,90.32882,2024,3
2024-03-24,54.71597,2024,3
2024-03-25,316.0372,2024,3
2024-03-26,306.40988,2024,3
2024-03-27,319.34317,2024,3
2024-03-28,297.83972,2024,3
2024-03-29,305.89142,2024,3
2024-03-30,69.99276,2024,3
2024-03-31,66.78613,2024,3
2024-04-01,250.64615,2024,4
2024-04-02,270.88452,2024,4
2024-04-03,299.48376,2024,4
2024-04-04,324.33078,2024,4
2024-04-05,286.76154,2024,4
2024-04-06,84.048134,2024,4
2024-04-07,83.33278,2024,4
2024-04-08,297.67175,2024,4
2024-04-09,307.6607,2024,4
2024-04-10,322.47266,2024,4
2024-04-11,282.62976,2024,4
2024-04-12,336.686,2024,4
2024-04-13,78.78154,2024,4
2024-04-14,74.24826,2024,4
2024-04-15,309.04355,2024,4
2024-04-16,291.394,2024,4
2024-04-17,276.67117,2024,4
2024-04-18,310.9122,2024,4
2024-04-19,304.12125,2024,4
2024-04-20,83.566734,2024,4
2024-04-21,83.983734,2024,4
2024-04-22,311.15637,2024,4
2024-04-23,307.46548,2024,4
2024-04-24,324.36673,2024,4
2024-04-25,294.4147,2024,4
2024-04-26,313.01187,2024,4
2024-04-27,75.386345,2024,4
2024-04-28,63.865295,2024,4
2024-04-29,296.16394,2024,4
2024-04-30,297.21545,2024,4
2024-05-01,260.8344,2024,5
2024-05-02,279.2481,2024,5
2024-05-03,300.94418,2024,5
2024-05-04,88.46587,2024,5
2024-05-05,74.43047,2024,5
2024-05-06,296.72748,2024,5
2024-05-07,303.8529,2024,5
2024-05-08,309.277,2024,5
2024-05-09,333.0639,2024,5
2024-05-10,291.44058,2024,5
2024-05-11,91.58805,2024,5
2024-05-12,83.3342,2024,5
2024-05-13,319.46915,2024,5
2024-05-14,296.0507,2024,5
2024-05-15,288.62854,2024,5
2024-05-16,312.62906,2024,5
2024-05-17,284.52945,2024,5
2024-05-18,91.67337,2024,5
2024-05-19,92.89494,2024,5
2024-05-20,276.02563,2024,5
2024-05-21,301.5558,2024,5
2024-05-22,320.67044,2024,5
2024-05-23,281.98874,2024,5
2024-05-24,336.78867,2024,5
2024-05-25,85.24383,2024,5
2024-05-26,96.59418,2024,5
2024-05-27,310.45596,2024,5
2024-05-28,289.73563,2024,5
2024-05-29,291.2861,2024,5
2024-05-30,314.28598,2024,5
2024-05-31,288.5583,2024,5
2024-06-01,91.79831,2024,6
2024-06-02,96.58684,2024,6
2024-06-03,255.54648,2024,6
2024-06-04,285.99356,2024,6
2024-06-05,287.63535,2024,6
2024-06-06,281.41525,2024,6
2024-06-07,293.72855,2024,6
2024-06-08,90.861885,2024,6
2024-06-09,85.66396,2024,6
2024-06-10,300.2725,2024,6
2024-06-11,314.76587,2024,6
2024-06-12,309.21375,2024,6
2024-06-13,330.59033,2024,6
2024-06-14,266.46146,2024,6
2024-06-15,89.6415,2024,6
2024-06-16,87.70824,2024,6
2024-06-17,312.81644,2024,6
2024-06-18,281.4204,2024,6
2024-06-19,292.84894,2024,6
2024-06-20,290.35876,2024,6
2024-06-21,278.64493,2024,6
2024-06-22,90.78246,2024,6
2024-06-23,109.63231,2024,6
2024-06-24,304.68405,2024,6
2024-06-25,313.9211,2024,6
2024-06-26,320.5896,2024,6
2024-06-27,316.45535,2024,6
2024-06-28,321.60492,2024,6
2024-06-29,86.19544,2024,6
2024-06-30,86.05755,2024,6
2024-07-01,258.11798,2024,7
2024-07-02,254.92958,2024,7
2024-07-03,264.68707,2024,7
2024-07-04,306.2543,2024,7
2024-07-05,271.34152,2024,7
2024-07-06,94.5004,2024,7
2024-07-07,84.92916,2024,7
2024-07-08,304.30945,2024,7
2024-07-09,294.45752,2024,7
2024-07-10,300.38348,2024,7
2024-07-11,315.60635,2024,7
2024-07-12,329.1349,2024,7
2024-07-13,92.33545,2024,7
2024-07-14,89.85777,2024,7
2024-07-15,302.05618,2024,7
2024-07-16,304.16733,2024,7
2024-07-17,300.76868,2024,7
2024-07-18,268.05844,2024,7
2024-07-19,303.09976,2024,7
2024-07-20,95.48095,2024,7
2024-07-21,95.82065,2024,7
2024-07-22,280.78583,2024,7
2024-07-23,285.30945,2024,7
2024-07-24,304.75854,2024,7
2024-07-25,279.94656,2024,7
2024-07-26,274.43448,2024,7
2024-07-27,79.34843,2024,7
2024-07-28,76.11258,2024,7
2024-07-29,315.05637,2024,7
2024-07-30,311.0511,2024,7
2024-07-31,310.08307,2024,7
2024-08-01,289.75137,2024,8
2024-08-02,305.57886,2024,8
2024-08-03,95.7295,2024,8
2024-08-04,85.955376,2024,8
2024-08-05,284.87433,2024,8
2024-08-06,305.02286,2024,8
2024-08-07,262.92786,2024,8
2024-08-08,325.96463,2024,8
2024-08-09,255.91074,2024,8
2024-08-10,93.22332,2024,8
2024-08-11,86.631134,2024,8
2024-08-12,293.20132,2024,8
2024-08-13,297.68344,2024,8
2024-08-14,298.65506,2024,8
2024-08-15,291.0034,2024,8
2024-08-16,297.77756,2024,8
2024-08-17,87.13449,2024,8
2024-08-18,87.04932,2024,8
2024-08-19,319.92667,2024,8
2024-08-20,292.55972,2024,8
2024-08-21,320.09866,2024,8
2024-08-22,263.22372,2024,8
2024-08-23,344.76282,2024,8
2024-08-24,90.3072,2024,8
2024-08-25,97.86276,2024,8
2024-08-26,266.1805,2024,8
2024-08-27,296.56482,2024,8
2024-08-28,256.27997,2024,8
2024-08-29,288.61456,2024,8
2024-08-30,333.81183,2024,8
2024-08-31,94.05367,2024,8
2024-09-01,80.37034,2024,9
2024-09-02,261.09576,2024,9
2024-09-03,279.97003,2024,9
2024-09-04,306.82254,2024,9
2024-09-05,334.52606,2024,9
2024-09-06,261.65546,2024,9
2024-09-07,95.847595,2024,9
2024-09-08,91.40759,2024,9
2024-09-09,316.99323,2024,9
2024-09-10,313.6026,2024,9
2024-09-11,294.17487,2024,9
2024-09-12,296.85928,2024,9
2024-09-13,272.3487,2024,9
2024-09-14,92.93737,2024,9
2024-09-15,88.4771,2024,9
2024-09-16,308.00854,2024,9
2024-09-17,265.95425,2024,9
2024-09-18,300.49088,2024,9
2024-09-19,281.78693,2024,9
2024-09-20,332.738,2024,9
2024-09-21,86.16213,2024,9
2024-09-22,82.4897,2024,9
2024-09-23,276.122,2024,9
2024-09-24,296.22305,2024,9
2024-09-25,313.9986,2024,9
2024-09-26,328.54025,2024,9
2024-09-27,275.41776,2024,9
2024-09-28,86.24557,2024,9
2024-09-29,77.07329,2024,9
2024-09-30,293.49982,2024,9
2024-10-01,240.61261,2024,10
2024-10-02,274.6103,2024,10
2024-10-03,300.73367,2024,10
2024-10-04,290.2249,2024,10
2024-10-05,87.40411,2024,10
2024-10-06,85.39138,2024,10
2024-10-07,281.95255,2024,10
2024-10-08,280.91055,2024,10
2024-10-09,311.07965,2024,10
2024-10-10,299.13052,2024,10
2024-10-11,311.09436,2024,10
2024-10-12,92.93466,2024,10
2024-10-13,91.353836,2024,10
2024-10-14,287.73196,2024,10
2024-10-15,294.83334,2024,10
2024-10-16,295.0436,2024,10
2024-10-17,290.1666,2024,10
2024-10-18,293.487,2024,10
2024-10-19,85.5436,2024,10
2024-10-20,89.26497,2024,10
2024-10-21,275.16354,2024,10
2024-10-22,280.16217,2024,10
2024-10-23,309.53976,2024,10
2024-10-24,301.52884,2024,10
2024-10-25,298.8946,2024,10
2024-10-26,82.799034,2024,10
2024-10-27,82.90229,2024,10
2024-10-28,278.47113,2024,10
2024-10-29,287.91748,2024,10
2024-10-30,310.63345,2024,10
2024-10-31,299.38748,2024,10
2024-11-01,279.70505,2024,11
2024-11-02,89.56134,2024,11
2024-11-03,80.66552,2024,11
2024-11-04,268.6139,2024,11
2024-11-05,282.01978,2024,11
2024-11-06,304.0903,2024,11
2024-11-07,308.8012,2024,11
2024-11-08,309.0283,2024,11
2024-11-09,91.925674,2024,11
2024-11-10,84.43255,2024,11
2024-11-11,270.67947,2024,11
2024-11-12,285.29657,2024,11
2024-11-13,310.13574,2024,11
2024-11-14,305.6065,2024,11
2024-11-15,305.17935,2024,11
2024-11-16,90.005516,2024,11
2024-11-17,86.127106,2024,11
2024-11-18,278.6493,2024,11
2024-11-19,260.55743,2024,11
2024-11-20,288.962,2024,11
2024-11-21,299.82037,2024,11
2024-11-22,296.6462,2024,11
2024-11-23,113.765114,2024,11
2024-11-24,94.50182,2024,11
2024-11-25,275.5635,2024,11
2024-11-26,273.47495,2024,11
2024-11-27,309.96375,2024,11
2024-11-28,299.00943,2024,11
2024-11-29,306.66116,2024,11
2024-11-30,76.91581,2024,11
2024-12-01,87.0511,2024,12
2024-12-02,248.1128,2024,12
2024-12-03,251.74438,2024,12
2024-12-04,288.18958,2024,12
2024-12-05,312.2931,2024,12
2024-12-06,293.41278,2024,12
2024-12-07,100.763435,2024,12
2024-12-08,97.592834,2024,12
2024-12-09,277.5266,2024,12
2024-12-10,280.63724,2024,12
2024-12-11,303.7701,2024,12
2024-12-12,291.27307,2024,12
2024-12-13,295.7344,2024,12
2024-12-14,97.77725,2024,12
2024-12-15,101.85515,2024,12
2024-12-16,280.0463,2024,12
2024-12-17,283.26468,2024,12
2024-12-18,300.2668,2024,12
2024-12-19,260.00375,2024,12
2024-12-20,302.3559,2024,12
2024-12-21,93.39568,2024,12
2024-12-22,101.23183,2024,12
2024-12-23,290.0316,2024,12
2024-12-24,255.1187,2024,12
2024-12-25,298.10678,2024,12
2024-12-26,299.15244,2024,12
2024-12-27,293.60068,2024,12
2024-12-28,103.4807,2024,12
2024-12-29,107.54177,2024,12
2024-12-30,272.00952,2024,12
2024-12-31,281.12814,2024,12
